No.,名前,Instagramハンドル,Instagram URL,フォロワー数（概算）,属性,アプローチメモ
1,NAVITO（本宮郁人）,@navito_halal,https://www.instagram.com/navito_halal/,100万人超,非ムスリム日本人／神戸出身／Halal Naviアプリ運営CEO,最大インフルエンサー。和牛座FCプロデュース中。fc@motaras.co.jp へ連絡可。天幸牛の指定食材化が最大チャンス
2,高雄咲（Saki Takao）,@saki.safwa,https://www.instagram.com/saki.safwa/,12.1万人,日本人ムスリマ／東京在住,PRコラボ・サンプル送付でレビュー依頼。日本語主体で日本人ムスリムへのリーチ大
3,Ken（Kenji Sato）,@kencampur,https://www.instagram.com/kencampur/,39.8万人,インドネシア在住の日本人クリエイター／食・ライフスタイル,インドネシア語×日本語。東南アジアムスリムへのリーチ大。インドネシア向けPR向き
4,MENA,@melnamonica,https://www.instagram.com/melnamonica/,10.8万人,東京在住外国人ムスリマ／10年超勤務,東京ハラルグルメ・在日ムスリム生活コンテンツ。多言語リーチ
5,Yoshito,@yoshito_japan,https://www.instagram.com/yoshito_japan/,8.4万人,日本人／浅草ハラル土産店HALAL-Ya運営，ハラルグルメ発信,YouTube「Yoshito I Japan Halal Foodie」も運営。B2Bコラボ可能性高
6,YUI,@yuihalal,https://www.instagram.com/yuihalal/,4.5万人,日本人ムスリマ／HALAL JAPAN INFO,日本のムスリム生活・ハラルグルメ情報発信。日本人ムスリマ層へのリーチ
7,Halal Food in Japan（メディア）,@halalfoodinjapan,https://www.instagram.com/halalfoodinjapan/,5.8万人,日本最大級のムスリムフレンドリー情報プラットフォーム,halalfoodinjapan.com 運営。掲載・タイアップ企画あり。ビジネス問合せ受付
8,HALAL GOURMET JAPAN（メディア）,@halalgourmetjapan,https://www.instagram.com/halalgourmetjapan/,4.1万人,ハラルグルメガイドメディア／halalgourmet.jp 連動,レストラン掲載・スポンサー枠あり。食材メーカーとのタイアップ可能性あり
9,Aya（Muslim Travel Japan）,@nazayazulaikha,https://www.instagram.com/nazayazulaikha/,1.3万人,ムスリム向け日本旅行情報発信者,外国人ムスリム旅行者向け。ハラル飲食店の穴場紹介が多い
10,HALAL-Ya（店舗アカウント）,@halal_ya_japan,https://www.instagram.com/halal_ya_japan/,2.8万人,浅草のハラルお土産店／Yoshitoと連動,店舗PR・商品紹介投稿。ハラル食材の紹介にも対応可能性あり
